site,day_of_month,month,year,text,species,count
Mersey Valley,2,April,2015,"Count: null, observerId: obsr508556, duration: 90, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
Mersey Valley,25,June,2015,"Count: null, observerId: obsr508556, duration: 90, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
Mersey Valley,11,May,2015,"Count: null, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
Mersey Valley,16,September,2015,"Count: 1, observerId: obsr508556, duration: 90, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Mersey Valley,24,August,2016,"Count: 2, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Mersey Valley,3,April,2016,"Count: 1, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 6.437, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Mersey Valley,29,August,2016,"Count: null, observerId: obsr508556, duration: 135, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
Mersey Valley,21,March,2016,"Count: 1, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Mersey Valley,4,May,2016,"Count: null, observerId: obsr508556, duration: 150, number of observers: 1, distance covered: 6.437, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
Mersey Valley,13,March,2016,"Count: null, observerId: obsr508556, duration: 150, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
Mersey Valley,12,February,2016,"Count: null, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
Mersey Valley,11,January,2016,"Count: null, observerId: obsr508556, duration: 90, number of observers: 1, distance covered: 4.828, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
Mersey Valley,25,September,2016,"Count: 1, observerId: obsr508556, duration: 105, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Mersey Valley,15,March,2016,"Count: 4, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 6.437, area covered: null, trip comments: null, species comments: null",Stock Dove,4
Mersey Valley,5,June,2016,"Count: null, observerId: obsr508556, duration: 60, number of observers: 1, distance covered: 4.828, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
Mersey Valley,13,May,2016,"Count: null, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
Mersey Valley,12,March,2016,"Count: null, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 6.437, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
Mersey Valley,9,January,2016,"Count: null, observerId: obsr508556, duration: 150, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
Mersey Valley,12,May,2016,"Count: null, observerId: obsr508556, duration: 90, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
Mersey Valley,11,January,2017,"Count: 2, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Mersey Valley,26,March,2017,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Mersey Valley,6,May,2017,"Count: 1, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Mersey Valley,13,December,2017,"Count: 2, observerId: obsr508556, duration: 105, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Mersey Valley,22,July,2017,"Count: 1, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: , species comments: Jacksons Boat",Stock Dove,1
Mersey Valley,21,August,2017,"Count: 1, observerId: obsr508556, duration: 105, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: , species comments: Jacksons Boat",Stock Dove,1
Mersey Valley,5,March,2017,"Count: 2, observerId: obsr508556, duration: 90, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Mersey Valley,11,September,2017,"Count: 1, observerId: obsr508556, duration: 90, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Mersey Valley,5,April,2018,"Count: 1, observerId: obsr508556, duration: 105, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Mersey Valley,13,January,2018,"Count: 15, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: , species comments: Flying over Stretford Ees E-&gt;W",Stock Dove,15
Pomona,31,May,2012,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Pomona,23,June,2018,"Count: 4, observerId: obsr775373, duration: 65, number of observers: 2, distance covered: 2.0, area covered: null, trip comments: with Amy and Cooks, species comments: Feeding on ground in strimmed area. Not sure where these came from",Stock Dove,4
Pomona,8,July,2018,"Count: 5, observerId: obsr775373, duration: 70, number of observers: 2, distance covered: 2.0, area covered: null, trip comments: with Jo and Cooks, lots of Gatekeepers, species comments: null",Stock Dove,5
Manchester Southern Cemetery,21,August,2018,"Count: 2, observerId: obsr744865, duration: 90, number of observers: 1, distance covered: 1.0, area covered: null, trip comments: Twitching the Northern Wheatear found by Tony O'Mahony earlier today. Birding confined to a circuit of the northern area., species comments: null",Stock Dove,2
Manchester Southern Cemetery,24,April,2018,"Count: 1, observerId: obsr744865, duration: 20, number of observers: 1, distance covered: 0.4, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Longford Park,16,April,2018,"Count: 1, observerId: obsr744865, duration: 45, number of observers: 1, distance covered: 0.5, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Reddish Vale Country Park,8,March,2017,"Count: 2, observerId: obsr419927, duration: 45, number of observers: 2, distance covered: 0.8, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Reddish Vale Country Park,8,March,2017,"Count: 2, observerId: obsr20091, duration: 45, number of observers: 2, distance covered: 0.8, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Reddish Vale Country Park,13,May,2017,"Count: 1, observerId: obsr921629, duration: null, number of observers: 3, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Stretford Meadows,28,February,2010,"Count: 6, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,6
Stretford Meadows,19,April,2016,"Count: 7, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,7
Stretford Meadows,23,April,2018,"Count: 6, observerId: obsr744865, duration: 90, number of observers: 1, distance covered: 2.5, area covered: null, trip comments: null, species comments: null",Stock Dove,6
Stretford Meadows,21,April,2018,"Count: 2, observerId: obsr744865, duration: 90, number of observers: 1, distance covered: 2.4, area covered: null, trip comments: No sight nor sound of yesterdays reported Whinchat or 3 Grasshopper Warbler, species comments: null",Stock Dove,2
Stretford Meadows,19,July,2018,"Count: 1, observerId: obsr744865, duration: 85, number of observers: 1, distance covered: 2.5, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Chorlton Water Park,19,August,2007,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Chorlton Water Park,5,July,2007,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Chorlton Water Park,7,May,1983,"Count: 1, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: , species comments: Barlow Tip",Stock Dove,1
Chorlton Water Park,26,November,2008,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Chorlton Water Park,13,February,1984,"Count: 2, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton Water Park,13,April,2009,"Count: 3, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,3
Chorlton Water Park,29,June,2009,"Count: 3, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,3
Chorlton Water Park,5,April,2010,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton Water Park,17,March,2010,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton Water Park,1,March,2010,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton Water Park,6,March,2010,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Chorlton Water Park,4,April,2010,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton Water Park,16,March,2011,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton Water Park,12,January,2011,"Count: 3, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,3
Chorlton Water Park,16,July,2012,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton Water Park,17,May,2014,"Count: 2, observerId: obsr268884, duration: 180, number of observers: 1, distance covered: 5.0, area covered: null, trip comments: Early morning visit to the water park was great ... excellent spring weather, great birding.    Also seen were several gray squirrels, one fox on edge of golf course and 2 rabbits., species comments: null",Stock Dove,2
Chorlton Water Park,19,May,2014,"Count: 2, observerId: obsr268884, duration: 180, number of observers: 1, distance covered: 6.0, area covered: null, trip comments: Early am visit to the water park was very productive ... excellent spring weather, great birding.   Squirrels were seen and one fox scooting through the underbrush., species comments: null",Stock Dove,2
Chorlton Water Park,16,September,2015,"Count: 1, observerId: obsr508556, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Chorlton Water Park,7,February,2016,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Chorlton Water Park,7,June,2016,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton Water Park,12,March,2016,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton Water Park,4,June,2016,"Count: 3, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,3
Chorlton Water Park,16,April,2016,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton Water Park,30,July,2016,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Chorlton Water Park,10,May,2016,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton Water Park,10,April,2016,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton Water Park,23,April,2017,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Chorlton Water Park,10,December,2017,"Count: 3, observerId: obsr647536, duration: 60, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,3
Chorlton EES,19,April,2013,"Count: 4, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,4
Chorlton EES,28,March,2013,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Chorlton EES,29,April,2013,"Count: 2, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton EES,29,April,2013,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton EES,19,April,2013,"Count: 4, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,4
Chorlton EES,19,July,2015,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Chorlton EES,14,June,2015,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Chorlton EES,24,April,2016,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Chorlton EES,2,March,2016,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton EES,14,May,2016,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton EES,22,July,2017,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton EES,26,February,2017,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton EES,25,June,2017,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Chorlton EES,1,February,2017,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton EES,6,May,2017,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton EES,20,May,2017,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Chorlton EES,4,April,2017,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton EES,19,April,2018,"Count: 2, observerId: obsr744865, duration: 170, number of observers: 1, distance covered: 4.0, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton EES,11,March,2018,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton EES,8,April,2018,"Count: 1, observerId: obsr647536, duration: 270, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Chorlton EES,27,July,2018,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Chorlton EES,24,April,2018,"Count: 2, observerId: obsr744865, duration: 110, number of observers: 1, distance covered: 3.0, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton EES,18,May,2018,"Count: 1, observerId: obsr647536, duration: 150, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Chorlton EES,4,February,2018,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Chorlton EES,9,September,2018,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Weaste Water Treatment Works,23,July,2012,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Weaste Water Treatment Works,31,May,2012,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Weaste Water Treatment Works,8,July,2012,"Count: 3, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,3
Weaste Water Treatment Works,27,August,2012,"Count: null, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,647536
Weaste Water Treatment Works,15,November,2012,"Count: 4, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,4
Weaste Water Treatment Works,9,September,2012,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Weaste Water Treatment Works,27,October,2012,"Count: 1, observerId: obsr647536, duration: 240, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Weaste Water Treatment Works,24,July,2012,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Weaste Water Treatment Works,28,May,2013,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Weaste Water Treatment Works,26,July,2013,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Weaste Water Treatment Works,16,May,2013,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Rye Bank Fields,12,September,2018,"Count: 1, observerId: obsr744865, duration: 107, number of observers: 1, distance covered: 0.8, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Rye Bank Fields,23,August,2018,"Count: 1, observerId: obsr744865, duration: 69, number of observers: 1, distance covered: 0.8, area covered: null, trip comments: 1 Fox sighted also., species comments: null",Stock Dove,1
Rye Bank Fields,6,May,2018,"Count: 1, observerId: obsr775373, duration: 65, number of observers: 1, distance covered: 1.0, area covered: null, trip comments: , species comments: Usual place",Stock Dove,1
Rye Bank Fields,15,September,2018,"Count: 1, observerId: obsr744865, duration: 125, number of observers: 1, distance covered: 0.8, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Rye Bank Fields,5,September,2018,"Count: 2, observerId: obsr744865, duration: 100, number of observers: 1, distance covered: 0.3, area covered: null, trip comments: No specific counts were made this morning due to the time spent trying to a get a record shot of the Spotted Flycatcher, species comments: null",Stock Dove,2
Rye Bank Fields,29,September,2018,"Count: 2, observerId: obsr744865, duration: 100, number of observers: 1, distance covered: 0.3, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Rye Bank Fields,22,September,2018,"Count: 1, observerId: obsr775373, duration: 85, number of observers: 1, distance covered: 1.0, area covered: null, trip comments: with Cooks, species comments: null",Stock Dove,1
Rye Bank Fields,11,September,2018,"Count: 1, observerId: obsr744865, duration: 128, number of observers: 1, distance covered: 0.8, area covered: null, trip comments: The 4th Spotted Flycatcher of the autumn., species comments: null",Stock Dove,1
Rye Bank Fields,13,September,2018,"Count: 1, observerId: obsr744865, duration: 105, number of observers: 1, distance covered: 0.8, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Rye Bank Fields,8,April,2018,"Count: 2, observerId: obsr775373, duration: 65, number of observers: 1, distance covered: 1.609, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Rye Bank Fields,24,February,2018,"Count: 2, observerId: obsr775373, duration: 65, number of observers: 1, distance covered: 1.609, area covered: null, trip comments: , species comments: 2 looking like going to breed in large trees nr Longford",Stock Dove,2
Rye Bank Fields,30,March,2018,"Count: 2, observerId: obsr775373, duration: 40, number of observers: 1, distance covered: 1.609, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Prestwich Forest Park,15,March,2018,"Count: 2, observerId: obsr664920, duration: 80, number of observers: 1, distance covered: 3.219, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Stretford EES,17,April,2018,"Count: 4, observerId: obsr744865, duration: 25, number of observers: 1, distance covered: 0.5, area covered: null, trip comments: null, species comments: null",Stock Dove,4
Sale Water Park,14,April,2007,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Sale Water Park,12,April,2008,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Sale Water Park,18,April,2008,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Sale Water Park,16,June,2008,"Count: 3, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,3
Sale Water Park,11,April,2008,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Sale Water Park,28,May,2007,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Sale Water Park,30,June,2007,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Sale Water Park,29,March,2009,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Sale Water Park,15,May,2010,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Sale Water Park,18,March,2011,"Count: null, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,647536
Sale Water Park,14,October,2012,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Sale Water Park,6,April,2012,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Sale Water Park,9,July,2013,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Sale Water Park,12,June,2015,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Sale Water Park,1,July,2015,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Sale Water Park,31,July,2015,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Sale Water Park,28,July,2015,"Count: null, observerId: obsr508556, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
Sale Water Park,16,June,2015,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Sale Water Park,20,March,2016,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Sale Water Park,3,May,2016,"Count: 1, observerId: obsr508556, duration: 60, number of observers: 1, distance covered: 3.219, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Sale Water Park,21,April,2016,"Count: 1, observerId: obsr508556, duration: 60, number of observers: 1, distance covered: 2.414, area covered: null, trip comments: null, species comments: null",Stock Dove,1
